,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year
76,ZZHZHZSZ,01/05/2018,WHITE,M,OTHERS,2018
77,ZZSRHJLH,01/05/2018,WHITE,M,OTHERS,2018
78,ZZSRHJBL,01/05/2018,WHITE,F,OTHERS,2018
79,ZZHLESSR,01/08/2018,BLACK,M,OTHERS,2018
80,ZZHSBEZW,01/03/2018,HISPANIC,F,VIOLATION OF PROBATION OR COND DISCHG,2018
81,ZZRSLLLH,01/08/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
82,ZZSREJHC,01/08/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
83,ZZRZWEWB,01/08/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
84,ZZHLLSLW,01/08/2018,WHITE,M,OTHERS,2018
85,ZZHCSZRE,01/05/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018
86,ZZSRSZEZ,01/08/2018,WHITE,F,OTHERS,2018
87,ZZSRSZZL,01/08/2018,HISPANIC,M,OTHERS,2018
88,ZZRSJBBB,01/08/2018,WHITE,M,OTHERS,2018
89,ZZHSSWLL,01/08/2018,WHITE,M,OTHERS,2018
90,ZZRSBHEL,01/08/2018,HISPANIC,M,OTHERS,2018
91,ZZSRHJJC,01/08/2018,BLACK,M,OTHERS,2018
92,ZZSRHJJL,01/08/2018,WHITE,M,OTHERS,2018
93,ZZSRHJJH,01/08/2018,HISPANIC,M,OTHERS,2018
94,ZZHHJLHB,01/08/2018,HISPANIC,M,OTHERS,2018
95,ZZSRSZEE,01/08/2018,WHITE,F,OTHERS,2018
96,ZZSRHJJW,01/08/2018,HISPANIC,M,OTHERS,2018
97,ZZREZECJ,01/08/2018,WHITE,M,OTHERS,2018
98,ZZSRHJJJ,01/08/2018,WHITE,F,OTHERS,2018
99,ZZSZCHZR,01/08/2018,WHITE,M,OTHERS,2018
100,ZZELZSHZ,01/08/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
101,ZZSEBSWW,01/05/2018,BLACK,M,OTHERS,2018
102,ZZHWJSLC,01/09/2018,WHITE,M,OTHERS,2018
103,ZZSRSZRJ,01/09/2018,WHITE,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
104,ZZZJLBEB,01/09/2018,WHITE,M,OTHERS,2018
105,ZZSRSZRZ,01/09/2018,BLACK,M,OTHERS,2018
106,ZZRRZCLC,01/02/2018,BLACK,M,OTHERS,2018
107,ZZHESCZC,01/09/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018
108,ZZRRJCZW,01/09/2018,WHITE,M,OTHERS,2018
109,ZZSRSZEC,01/09/2018,WHITE,M,OTHERS,2018
110,ZZSRHJSL,01/03/2018,WHITE,M,OTHERS,2018
111,ZZSEZSSH,01/09/2018,HISPANIC,F,OTHERS,2018
112,ZZRZWEWB,01/08/2018,BLACK,M,OTHERS,2018
113,ZZESBZJL,01/09/2018,BLACK,M,OTHERS,2018
114,ZZSRSZHE,01/09/2018,WHITE,M,OTHERS,2018
115,ZZECRBRZ,01/09/2018,BLACK,M,"ASSAULT, THIRD DEGREE                 AM",2018
116,ZZSRSZEL,01/09/2018,WHITE,M,OTHERS,2018
117,ZZELZSHZ,01/08/2018,HISPANIC,M,OTHERS,2018
118,ZZSZCWHE,01/09/2018,HISPANIC,M,OTHERS,2018
119,ZZSRSZRB,01/09/2018,WHITE,M,OTHERS,2018
