,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year
10279,ZZSRCRHH,08/22/2018,HISPANIC,M,OTHERS,2018
10280,ZZHBRRWW,08/22/2018,WHITE,F,OTHERS,2018
10281,ZZEHLJLE,08/22/2018,BLACK,M,OTHERS,2018
10282,ZZSRCRRE,08/22/2018,WHITE,M,OTHERS,2018
10283,ZZHBJCBZ,08/22/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10284,ZZSRCRHZ,08/22/2018,WHITE,F,OTHERS,2018
10285,ZZSZHEES,08/22/2018,WHITE,M,OTHERS,2018
10286,ZZSRCRRS,08/22/2018,BLACK,F,OTHERS,2018
10287,ZZRSWLEZ,08/22/2018,HISPANIC,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018
10288,ZZRHCLJE,08/22/2018,WHITE,M,OTHERS,2018
10289,ZZRCJEZZ,08/22/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10290,ZZHJBEER,08/22/2018,BLACK,F,OTHERS,2018
10291,ZZHJLLZH,08/22/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10292,ZZSRCRRZ,08/22/2018,WHITE,M,OTHERS,2018
10293,ZZHWCSEH,08/22/2018,WHITE,M,OTHERS,2018
10294,ZZHJBRBL,08/22/2018,BLACK,F,"ASSAULT, THIRD DEGREE                 AM",2018
10295,ZZSRCRHE,08/22/2018,BLACK,M,OTHERS,2018
10296,ZZHJJEZR,08/22/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10297,ZZSRCRHS,08/22/2018,WHITE,M,"ROBBERY, FIRST DEGREE                 BF",2018
10298,ZZRLZLWE,08/22/2018,HISPANIC,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
10299,ZZRJWECC,08/22/2018,BLACK,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018
10300,ZZHHRRJJ,08/22/2018,BLACK,M,"ROBBERY, FIRST DEGREE                 BF",2018
10301,ZZSRCRRB,08/22/2018,WHITE,M,OTHERS,2018
10302,ZZSRCRRH,08/22/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
10303,ZZSRCRRR,08/22/2018,WHITE,M,OTHERS,2018
10304,ZZHWWCRS,08/22/2018,WHITE,M,OTHERS,2018
10305,ZZHZLWBZ,08/22/2018,BLACK,M,OTHERS,2018
10306,ZZHCEBHE,08/22/2018,HISPANIC,M,OTHERS,2018
10307,ZZSRCRRW,08/22/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018
10308,ZZHHSLSE,08/21/2018,WHITE,M,OTHERS,2018
10309,ZZHCZSJL,08/22/2018,HISPANIC,M,OTHERS,2018
10310,ZZSRCRRC,08/22/2018,BLACK,M,OTHERS,2018
10311,ZZHLWRCC,08/22/2018,WHITE,M,OTHERS,2018
10312,ZZSRCRHW,08/22/2018,WHITE,M,"ROBBERY, FIRST DEGREE                 BF",2018
10313,ZZEECRHH,08/22/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018
10314,ZZSRCRRL,08/22/2018,BLACK,M,OTHERS,2018
10315,ZZSRCRRJ,08/22/2018,WHITE,F,INJURY OR RISK OF INJURY TO MINOR      F,2018
10316,ZZHWRRES,08/22/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10317,ZZRBZCLE,08/22/2018,WHITE,M,OTHERS,2018
10318,ZZHHCHHR,08/22/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10319,ZZSZJWJZ,08/22/2018,BLACK,M,OTHERS,2018
10320,ZZRHJRSC,08/22/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10321,ZZRLJHCL,08/22/2018,HISPANIC,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
10322,ZZSRCRHR,08/22/2018,HISPANIC,M,OTHERS,2018
10323,ZZHEJWZH,08/22/2018,HISPANIC,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018
10324,ZZHBBBHE,08/22/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10325,ZZHSJLJR,08/22/2018,BLACK,M,OTHERS,2018
10326,ZZSEECWH,08/22/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10327,ZZSRCRSR,08/23/2018,BLACK,M,OTHERS,2018
10328,ZZSRCRSL,08/23/2018,BLACK,M,OTHERS,2018
10329,ZZSRCRSS,08/23/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10330,ZZEJHHWB,08/23/2018,WHITE,M,OTHERS,2018
10331,ZZRCCCWJ,08/23/2018,HISPANIC,M,OTHERS,2018
10332,ZZHSHHRZ,08/23/2018,WHITE,M,OTHERS,2018
10333,ZZHJBJBR,08/23/2018,HISPANIC,M,"ASSAULT, THIRD DEGREE                 AM",2018
10334,ZZHBJLEH,08/23/2018,BLACK,M,OTHERS,2018
